ID;Name;Coordinates
3036027;Auriac-sur-Vendinelle;43.52379, 1.82661
3037572;Aniane;43.68561, 3.5863
3037984;Alzonne;43.25379, 2.17577
3038257;Albias;44.08983, 1.449
2974203;Sorède;42.53069, 2.95708
2975181;Séméac;43.22834, 0.10513
2979087;Saint-Julien-les-Rosiers;44.17445, 4.10803
2979148;Saint-Juéry;43.94838, 2.20913
2979554;Saint-Hilaire-de-Brethmas;44.08114, 4.1247
2990831;Nébian;43.60635, 3.43083
2992627;Montfaucon;44.0742, 4.75403
2995339;Marvejols;44.55435, 3.29041
2998643;Lézignan-la-Cèbe;43.49399, 3.43672
3006036;Launac;43.74357, 1.18172
3010634;La Calmette;43.92428, 4.26322
3012848;Ille-sur-Têt;42.67083, 2.62066
3022151;Cugnaux;43.53635, 1.34428
3022987;Cournonsec;43.54944, 3.70556
3023911;Congénies;43.77804, 4.15964
3028340;Castelnau-d'Estrétefonds;43.78367, 1.35904
3029174;Caissargues;43.79573, 4.37842
3030308;Bressols;43.96807, 1.33753
3032292;Blaye-les-Mines;44.03072, 2.13129
3034992;Barcelonne-du-Gers;43.70334, -0.23632
3035268;Balaruc-les-Bains;43.4417, 3.6778
3035991;Aussillon;43.49897, 2.36313
3036018;Aurignac;43.21722, 0.88168
3038226;Alénya;42.63978, 2.98127
3038488;Aigues-Vives;43.7397, 4.17976
2969474;Vézénobres;44.0529, 4.13628
2969944;Verfeil;43.65781, 1.6634
2970095;Vénéjan;44.19694, 4.65713
2970407;Vauvert;43.69386, 4.27587
2968536;Villeneuve-lès-Maguelone;43.53222, 3.86047
2968571;Villeneuve-de-la-Raho;42.63696, 2.91683
2970104;Vendres;43.26978, 3.22395
2972412;Torreilles;42.75505, 2.99351
2972904;Thézan-lès-Béziers;43.42166, 3.16897
2975592;Saverdun;43.23458, 1.57443
2976489;Salses-le-Château;42.83333, 2.91667
2976520;Saïx;43.58109, 2.18267
2979692;Saint-Gervasy;43.87796, 4.46818
2981521;Saint-Aunès;43.64083, 3.96583
2984626;Rabastens-de-Bigorre;43.38758, 0.15057
2987914;Perpignan;42.69764, 2.89541
2990469;Névian;43.21225, 2.90235
2993528;Molières;44.19332, 1.36364
2993746;Mirandol-Bourgnounac;44.14193, 2.16676
2995971;Marcillac-Vallon;44.47464, 2.46454
2997262;Luc-la-Primaube;44.31439, 2.53552
2998661;Lézat-sur-Lèze;43.27622, 1.34664
3000353;Les Matelles;43.73044, 3.80912
3004891;Le Cailar;43.6759, 4.23616
3013153;Horgues;43.18842, 0.08808
3015119;Gallargues-le-Montueux;43.71667, 4.16667
3028720;Capestang;43.3288, 3.04466
3028844;Candillargues;43.62049, 4.06832
3029271;Cadalen;43.84982, 1.98096
3030676;Bouzigues;43.44843, 3.65761
3033574;Belmont-sur-Rance;43.81812, 2.7543
3034713;Bassan;43.41126, 3.25312
3035065;Baraqueville;44.27655, 2.43184
3036052;Aureilhan;43.24372, 0.09593
3037070;Argelès-Gazost;43.00271, -0.09914
3038782;Abeilhan;43.4499, 3.29488
2972665;Thuir;42.6322, 2.75577
